Date,Open,High,Low,Close,Adj Close,Volume
2021-05-21,18.430000,18.799999,18.360001,18.709999,18.709999,1145500
2021-05-24,18.780001,19.020000,18.650000,18.860001,18.860001,525400
2021-05-25,19.010000,19.430000,18.680000,18.690001,18.690001,1069600
2021-05-26,18.690001,19.209999,18.600000,19.200001,19.200001,965400
2021-05-27,19.320000,19.400000,18.709999,19.020000,19.020000,1397900
2021-05-28,19.160000,19.240000,18.240000,18.340000,18.340000,544200
2021-06-01,18.340000,18.650000,18.230000,18.559999,18.559999,428600
2021-06-02,18.629999,18.750000,17.969999,18.139999,18.139999,762300
2021-06-03,18.139999,18.670000,18.020000,18.510000,18.510000,613000
2021-06-04,18.549999,18.889999,18.370001,18.870001,18.870001,670800
2021-06-07,18.959999,21.209999,18.930000,20.900000,20.900000,4172000
2021-06-08,21.080000,21.379999,20.430000,20.820000,20.820000,1435300
2021-06-09,21.379999,22.690001,20.320000,21.000000,21.000000,5967100
2021-06-10,21.000000,21.690001,20.740000,21.370001,21.370001,2787100
2021-06-11,21.180000,21.469999,20.930000,21.010000,21.010000,3198400
2021-06-14,21.030001,21.120001,20.459999,20.530001,20.530001,1155500
2021-06-15,20.410000,20.790001,20.230000,20.629999,20.629999,1459900
2021-06-16,20.580000,20.930000,20.200001,20.620001,20.620001,982300
2021-06-17,20.709999,20.870001,20.510000,20.730000,20.730000,775600
2021-06-18,20.389999,20.760000,20.200001,20.559999,20.559999,1131800
2021-06-21,20.559999,21.450001,20.389999,21.430000,21.430000,1124200
2021-06-22,21.420000,21.870001,21.350000,21.480000,21.480000,1082700
2021-06-23,21.580000,21.700001,21.190001,21.270000,21.270000,870200
2021-06-24,21.350000,21.510000,21.190001,21.420000,21.420000,986800
2021-06-25,21.450001,22.650000,21.250000,22.450001,22.450001,8111600
2021-06-28,22.520000,22.520000,21.680000,21.900000,21.900000,3056500
2021-06-29,22.129999,22.350000,21.889999,21.990000,21.990000,1391200
2021-06-30,21.850000,22.040001,21.750000,21.870001,21.870001,547000
2021-07-01,22.059999,22.120001,21.700001,21.900000,21.900000,748800
2021-07-02,21.799999,22.010000,21.670000,21.889999,21.889999,779600
2021-07-06,21.969999,22.030001,21.440001,22.010000,22.010000,531100
2021-07-07,22.010000,22.500000,21.680000,22.250000,22.250000,1690000
2021-07-08,21.980000,22.180000,21.490000,21.660000,21.660000,689900
2021-07-09,21.820000,22.030001,21.490000,21.590000,21.590000,465100
2021-07-12,21.590000,21.590000,20.990000,21.420000,21.420000,1036500
2021-07-13,21.360001,21.360001,20.940001,21.040001,21.040001,309300
2021-07-14,21.170000,21.170000,20.250000,20.330000,20.330000,351500
2021-07-15,20.230000,20.549999,19.750000,19.990000,19.990000,534100
2021-07-16,20.139999,20.340000,19.740000,19.980000,19.980000,546100
2021-07-19,20.280001,20.580000,19.690001,20.090000,20.090000,863400
2021-07-20,20.070000,20.870001,20.070000,20.809999,20.809999,784000
